trade_num,asset,direction,ob_zone,decision_time_ist,entry_time_ist,exit_time_ist,entry_price,sl_price,tp_price,sl_dist_pct,leverage,actual_sl_risk_pct,tp_ret_pct,outcome,realized_r,loss_mechanism,starting_capital_gross,gross_pnl_usd,ending_capital_gross,starting_capital_net,fees_usd,net_pnl_usd,ending_capital_net
138,SOLUSD,SHORT,"[142.14, 143.59]",2024-08-19 16:30 IST,2024-08-19 16:30 IST,2024-08-19 16:30 IST,142.5008,143.589,141.6457,0.7637,45.83,35.0,27.5,FILLED_TP,0.7857,N/A,1113380.5244,306162.0726,1419542.597,3138.4132,115.0685,747.9455,3886.3587
139,BTCUSD,SHORT,"[60830.50, 61724.00]",2024-08-20 14:30 IST,2024-08-22 00:30 IST,2024-08-22 00:30 IST,61053.875,61724.0,60687.5517,1.0976,31.89,35.0,19.13,FILLED_TP,0.5466,N/A,1419542.597,271597.1053,1691139.7023,3886.3587,99.1421,644.424,4530.7827
140,SOLUSD,LONG,"[140.43, 141.67]",2024-08-21 16:30 IST,2024-08-21 16:30 IST,2024-08-21 16:30 IST,141.3565,140.425,142.2046,0.659,53.11,35.0,31.87,FILLED_TP,0.9105,N/A,1691139.7023,538929.1869,2230068.8892,4530.7827,192.5148,1251.3464,5782.1291
141,SOLUSD,SHORT,"[142.66, 143.81]",2024-08-21 23:30 IST,2024-08-21 23:30 IST,2024-08-21 23:30 IST,142.9452,143.813,142.0876,0.6071,57.66,35.0,34.59,FILLED_TP,0.9884,N/A,2230068.8892,771458.6981,3001527.5873,5782.1291,266.6987,1733.5416,7515.6707
142,XRPUSD,LONG,"[0.59, 0.60]",2024-08-22 07:30 IST,2024-08-22 07:30 IST,2024-08-22 07:30 IST,0.5936,0.5854,0.5971,1.3772,25.41,35.0,15.25,FILLED_TP,0.4357,N/A,3001527.5873,457666.8684,3459194.4557,7515.6707,152.7966,993.1777,8508.8485
143,SOLUSD,LONG,"[140.69, 143.11]",2024-08-22 18:30 IST,2024-08-22 18:30 IST,2024-08-22 18:30 IST,142.5027,140.687,143.3578,1.2742,27.47,35.0,16.48,FILLED_TP,0.4709,N/A,3459194.4557,570113.6818,4029308.1375,8508.8485,186.9804,1215.3724,9724.2209
144,ETHUSD,SHORT,"[2665.00, 2695.60]",2024-08-23 15:30 IST,2024-08-23 19:30 IST,2024-08-23 19:30 IST,2672.65,2695.6,2656.6141,0.8587,40.76,35.0,24.46,FILLED_SL,-1.0,DUAL_TOUCH_AMBIGUITY,4029308.1375,-1410257.8481,2619050.2894,9724.2209,317.0825,-3720.5598,6003.6611
145,SOLUSD,LONG,"[142.12, 143.58]",2024-08-23 16:30 IST,2024-08-23 19:30 IST,2024-08-23 19:30 IST,143.2127,142.117,144.072,0.7651,45.74,35.0,27.45,FILLED_TP,0.7842,N/A,2619050.2894,718841.8235,3337892.1129,6003.6611,219.7073,1428.0972,7431.7583
146,XRPUSD,SHORT,"[0.61, 0.61]",2024-08-24 00:30 IST,2024-08-24 00:30 IST,2024-08-24 00:30 IST,0.6093,0.615,0.6056,0.9355,37.41,35.0,22.45,FILLED_TP,0.6414,N/A,3337892.1129,749286.5079,4087178.6208,7431.7583,222.4364,1445.8368,8877.5951
147,BTCUSD,SHORT,"[63928.50, 64440.00]",2024-08-25 04:30 IST,2024-08-25 04:30 IST,2024-08-25 05:30 IST,64056.375,64440.0,63672.0367,0.5989,58.44,35.0,35.07,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,4087178.6208,-1430512.5173,2656666.1035,8877.5951,415.058,-3522.2163,5355.3788
148,SOLUSD,SHORT,"[160.46, 163.61]",2024-08-25 04:30 IST,2024-08-26 02:30 IST,2024-08-26 02:30 IST,161.2505,163.61,160.283,1.4633,23.92,35.0,14.35,FILLED_TP,0.41,N/A,2656666.1035,381274.1466,3037940.2501,5355.3788,102.4777,666.105,6021.4837
149,XRPUSD,LONG,"[0.60, 0.61]",2024-08-25 06:30 IST,2024-08-25 06:30 IST,2024-08-25 06:30 IST,0.6078,0.6048,0.6114,0.4936,70.91,35.0,42.55,FILLED_TP,1.2156,N/A,3037940.2501,1292522.0588,4330462.3089,6021.4837,341.5867,2220.3137,8241.7975
150,SOLUSD,LONG,"[158.46, 159.53]",2024-08-26 17:30 IST,2024-08-26 17:30 IST,2024-08-26 17:30 IST,159.2647,158.463,160.2203,0.5034,69.53,35.0,41.72,FILLED_TP,1.1919,N/A,4330462.3089,1806484.5572,6136946.866,8241.7975,458.4169,2979.7102,11221.5077
151,SOLUSD,LONG,"[155.37, 157.79]",2024-08-26 19:30 IST,2024-08-26 19:30 IST,2024-08-26 19:30 IST,157.1881,155.373,158.1312,1.1547,30.31,35.0,18.19,FILLED_TP,0.5196,N/A,6136946.866,1116083.4758,7253030.3419,11221.5077,272.1036,1768.6733,12990.181
152,ETHUSD,LONG,"[2646.95, 2680.00]",2024-08-27 05:30 IST,2024-08-27 07:30 IST,2024-08-27 07:30 IST,2671.7375,2646.95,2687.7679,0.9278,37.72,35.0,22.63,FILLED_TP,0.6467,N/A,7253030.3419,1641722.8692,8894753.2111,12990.181,392.0435,2548.2829,15538.4639
153,SOLUSD,LONG,"[156.46, 159.41]",2024-08-27 11:30 IST,2024-08-27 11:30 IST,2024-08-27 14:30 IST,158.6762,156.46,159.6283,1.3967,25.06,35.0,15.04,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,8894753.2111,-3113163.6239,5781589.5872,15538.4639,311.5009,-5749.9633,9788.5006
154,ETHUSD,LONG,"[2554.45, 2585.10]",2024-08-28 01:30 IST,2024-08-28 01:30 IST,2024-08-28 02:30 IST,2577.4375,2554.45,2592.9021,0.8919,39.24,35.0,23.55,FILLED_SL,-1.0,CONSOLIDATION_REVERSAL,5781589.5872,-2023556.3555,3758033.2317,9788.5006,307.3057,-3733.2809,6055.2197
155,SOLUSD,SHORT,"[147.25, 149.33]",2024-08-28 14:30 IST,2024-08-28 14:30 IST,2024-08-28 14:30 IST,147.7687,149.331,146.8821,1.0572,33.11,35.0,19.86,FILLED_TP,0.5675,N/A,3758033.2317,746469.3446,4504502.5763,6055.2197,160.3688,1042.3975,7097.6172
156,BTCUSD,LONG,"[58629.00, 59604.00]",2024-08-29 23:30 IST,2024-08-29 23:30 IST,2024-08-29 23:30 IST,59360.25,58629.0,59716.4115,1.2319,28.41,35.0,17.05,FILLED_TP,0.4871,N/A,4504502.5763,767884.6332,5272387.2094,7097.6172,161.3245,1048.6095,8146.2268
