ob_id,asset,timeframe,direction,formation_bar_index,formation_timestamp,break_bar_index,break_type,structure_type,qe_top_price,qe_bottom_price,qe_width,qe_width_pct,qe_extreme_candle_idx,lux_top_price,lux_bottom_price,lux_width,lux_width_pct,lux_extreme_candle_idx,extreme_candle_matched,top_price_matched,bottom_price_matched,width_matched,mismatch_category
BTCUSD_617_BULLISH_583_590,BTCUSD,1h,LONG,583,2024-06-25T07:00:00+00:00,590,CHOCH,internal,61262.5,60646.5,616.0,1.0157,583,61262.5,60646.5,616.0,1.0157,583,True,True,True,True,NO_MISMATCH
ETHUSD_650_BULLISH_648_649,ETHUSD,1h,LONG,648,2024-06-28T00:00:00+00:00,649,BOS,internal,3454.95,3436.3,18.65,0.5427,648,3454.95,3436.3,18.65,0.5427,648,True,True,True,True,NO_MISMATCH
XRPUSD_651_BEARISH_594_605,XRPUSD,1h,SHORT,594,2024-06-25T18:00:00+00:00,605,BOS,internal,0.479,0.4755,0.0035,0.7361,594,0.479,0.4755,0.0035,0.7361,594,True,True,True,True,NO_MISMATCH
XRPUSD_655_BULLISH_638_654,XRPUSD,1h,LONG,638,2024-06-27T14:00:00+00:00,654,BOS,internal,0.4768,0.4721,0.0047,0.9956,638,0.4768,0.4721,0.0047,0.9956,638,True,True,True,True,NO_MISMATCH
BTCUSD_657_BEARISH_649_655,BTCUSD,1h,SHORT,649,2024-06-28T01:00:00+00:00,655,CHOCH,internal,62212.5,61495.5,717.0,1.1659,649,62212.5,61495.5,717.0,1.1659,649,True,True,True,True,NO_MISMATCH
ETHUSD_658_BEARISH_650_655,ETHUSD,1h,SHORT,650,2024-06-28T02:00:00+00:00,655,CHOCH,internal,3485.0,3445.65,39.35,1.142,650,3485.0,3445.65,39.35,1.142,650,True,True,True,True,NO_MISMATCH
BTCUSD_680_BULLISH_674_679,BTCUSD,1h,LONG,674,2024-06-29T02:00:00+00:00,679,CHOCH,internal,60995.5,60723.0,272.5,0.4488,674,60995.5,60723.0,272.5,0.4488,674,True,True,True,True,NO_MISMATCH
BTCUSD_703_BEARISH_660_662,BTCUSD,1h,SHORT,660,2024-06-28T12:00:00+00:00,662,BOS,internal,61865.5,61316.0,549.5,0.8962,660,61865.5,61316.0,549.5,0.8962,660,True,True,True,True,NO_MISMATCH
ETHUSD_703_BEARISH_679_694,ETHUSD,1h,SHORT,679,2024-06-29T07:00:00+00:00,694,BOS,internal,3407.7,3388.05,19.65,0.58,679,3407.7,3388.05,19.65,0.58,679,True,True,True,True,NO_MISMATCH
XRPUSD_731_BULLISH_721_728,XRPUSD,1h,LONG,721,2024-07-01T01:00:00+00:00,728,BOS,internal,0.4798,0.4757,0.0041,0.8619,721,0.4798,0.4757,0.0041,0.8619,721,True,True,True,True,NO_MISMATCH
