trade_number,datetime,exit_datetime,asset,direction,ob_id,ob_high,ob_low,ob_width,ob_width_pct,entry,sl,tp,sl_distance,tp_distance,tp_price_move_pct,planned_rr,leverage,starting_capital_35pct,notional_size_35pct,margin_used_35pct,risk_amount_35pct,gross_pnl_35pct,fees_35pct,net_pnl_35pct,ending_capital_35pct,starting_capital_10pct,net_pnl_10pct,ending_capital_10pct,starting_capital_1pct,net_pnl_1pct,ending_capital_1pct,outcome,r_multiple,holding_time_hours,exit_reason,global_trade_lock_state,ambiguity_status
502,2025-07-28T14:00:00+00:00,2025-07-28T15:00:00+00:00,BTCUSD,LONG,BTCUSD_10142_BULLISH_10113_10119,117991.0,117836.5,154.5,0.131,117952.375,117836.5,118778.0416,115.875,825.6666,0.7,7.1255,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6217,0.0271,0.6488,TIMEOUT_EXIT,4.3646,1,TIMEOUT_EXIT,ACTIVE,UNAMBIGUOUS
503,2025-07-28T16:00:00+00:00,2025-07-28T17:00:00+00:00,SOLUSD,LONG,SOLUSD_10144_BULLISH_10121_10130,188.317,185.904,2.413,1.2928,187.7138,185.904,189.0277,1.8098,1.314,0.7,0.7261,36,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.6488,-0.0065,0.6423,SL_HIT,-1.0,1,SL_HIT,ACTIVE,UNAMBIGUOUS
504,2025-07-29T15:00:00+00:00,2025-07-29T16:00:00+00:00,ETHUSD,LONG,ETHUSD_10167_BULLISH_10154_10158,3772.75,3728.85,43.9,1.1676,3761.775,3728.85,3788.1074,32.925,26.3324,0.7,0.7998,39,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.6423,-0.0064,0.6359,SL_HIT,-1.0,1,SL_HIT,ACTIVE,UNAMBIGUOUS
505,2025-07-30T11:00:00+00:00,2025-07-30T14:00:00+00:00,BTCUSD,LONG,BTCUSD_10187_BULLISH_10172_10179,117853.0,117055.5,797.5,0.6785,117653.625,117055.5,118477.2004,598.125,823.5754,0.7,1.3769,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6359,0.0088,0.6446,TP_HIT,1.3769,3,TP_HIT,ACTIVE,UNAMBIGUOUS
506,2025-07-30T14:00:00+00:00,2025-07-30T15:00:00+00:00,XRPUSD,SHORT,XRPUSD_10190_BEARISH_10179_10186,3.149,3.1286,0.0204,0.6481,3.1337,3.149,3.1118,0.0153,0.0219,0.7,1.4337,71,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.6446,-0.0064,0.6382,SL_HIT,-1.0,1,SL_HIT,ACTIVE,UNAMBIGUOUS
507,2025-07-30T15:00:00+00:00,2025-07-30T18:00:00+00:00,BTCUSD,LONG,BTCUSD_10191_BULLISH_10187_10190,118163.5,117305.0,858.5,0.7278,117948.875,117305.0,118774.5171,643.875,825.6421,0.7,1.2823,64,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.6382,-0.0064,0.6318,SL_HIT,-1.0,3,SL_HIT,ACTIVE,UNAMBIGUOUS
508,2025-07-30T20:00:00+00:00,2025-07-31T00:00:00+00:00,ETHUSD,SHORT,ETHUSD_10196_BEARISH_10190_10194,3832.0,3762.85,69.15,1.8344,3780.1375,3832.0,3753.6765,51.8625,26.461,0.7,0.5102,25,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.6318,-0.0063,0.6255,SL_HIT,-1.0,4,SL_HIT,ACTIVE,UNAMBIGUOUS
509,2025-07-31T00:00:00+00:00,2025-07-31T07:00:00+00:00,BTCUSD,SHORT,BTCUSD_10200_BEARISH_10191_10194,118778.0,117793.0,985.0,0.8321,118039.25,118778.0,117212.9753,738.75,826.2747,0.7,1.1185,55,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.6255,-0.0063,0.6192,SL_HIT,-1.0,7,SL_HIT,ACTIVE,UNAMBIGUOUS
510,2025-07-31T14:00:00+00:00,2025-07-31T16:00:00+00:00,SOLUSD,LONG,SOLUSD_10214_BULLISH_10197_10204,176.599,174.713,1.886,1.074,176.1275,174.713,177.3604,1.4145,1.2329,0.7,0.8716,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6192,0.0054,0.6246,TP_HIT,0.8716,2,TP_HIT,ACTIVE,UNAMBIGUOUS
511,2025-07-31T18:00:00+00:00,2025-07-31T19:00:00+00:00,ETHUSD,LONG,ETHUSD_10218_BULLISH_10197_10200,3774.4,3741.3,33.1,0.877,3766.125,3741.3,3792.4879,24.825,26.3629,0.7,1.0619,53,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.6246,-0.0062,0.6184,SL_HIT,-1.0,1,SL_HIT,ACTIVE,AMBIGUOUS_RESOLVED_CONSERVATIVE
