ob_id,asset,direction,decision_timestamp,decision_bar_idx,ob_top,ob_bottom,ob_width,r_ctrl_a_quantedge_current,r_ctrl_b_proximal_edge,r_ctrl_c_midpoint_50,r_ctrl_d_deep_75,r_ctrl_e_swing_liquidity_tp,r_ctrl_f_atr_buffered_sl,r_ctrl_g_optimistic_exec,mfe_r,mae_r,holding_bars,is_ambiguous_same_bar_touch,first_touch_occurred
XRPUSD_841_BULLISH_834_840,XRPUSD,LONG,2024-07-06T01:00:00+00:00,841,0.4272,0.422,0.005200000000000038,1.0513,1.7143,4.428,0.0,-0.2,1.4286,1.0513,1.769231,0.538462,5,False,True
SOLUSD_843_BEARISH_834_841,SOLUSD,SHORT,2024-07-06T03:00:00+00:00,843,135.977,134.059,1.9180000000000064,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.672576,1.552659,3,False,True
BTCUSD_863_BEARISH_811_818,BTCUSD,SHORT,2024-07-06T23:00:00+00:00,863,58666.5,58149.0,517.5,1.7143,1.7143,0.0,0.0,-0.2,1.4286,1.7143,1.814815,0.428019,5,False,True
ETHUSD_871_BULLISH_849_855,ETHUSD,LONG,2024-07-07T07:00:00+00:00,871,3005.95,2984.95,21.0,1.7143,1.7143,0.0,0.0,-0.2,1.4286,1.7143,1.968254,0.0,3,False,True
XRPUSD_877_BULLISH_842_846,XRPUSD,LONG,2024-07-07T13:00:00+00:00,877,0.4284,0.4238,0.004599999999999993,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.492754,1,False,True
BTCUSD_886_BULLISH_845_854,BTCUSD,LONG,2024-07-07T22:00:00+00:00,886,56486.5,56017.5,469.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.373134,1.8742,1,False,True
BTCUSD_896_BEARISH_874_877,BTCUSD,SHORT,2024-07-08T08:00:00+00:00,896,57914.0,57491.5,422.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.756213,1.954635,1,False,True
BTCUSD_936_BULLISH_927_934,BTCUSD,LONG,2024-07-10T00:00:00+00:00,936,57500.5,56901.0,599.5,1.7143,1.7143,0.0,0.0,-0.2,1.4286,1.7143,1.919099,0.00695,3,False,True
ETHUSD_937_BEARISH_930_936,ETHUSD,SHORT,2024-07-10T01:00:00+00:00,937,3080.05,3046.75,33.30000000000018,-1.0,-1.0,-1.0,-1.0,-1.0,-0.5,-1.0,0.253253,1.066066,2,False,True
BTCUSD_949_BULLISH_937_940,BTCUSD,LONG,2024-07-10T13:00:00+00:00,949,58008.5,57347.5,661.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.370651,1.373172,7,False,True
