trade_number,timestamp,exit_timestamp,asset,direction,ob_id,ob_high,ob_low,ob_width,ob_width_percent,tp_regime,entry_price,sl_price,tp_price,risk_distance,reward_distance,planned_rr,outcome,realized_R,starting_capital_10pct,risk_amount_10pct,pnl_dollar_10pct,ending_capital_10pct,starting_capital_1pct,risk_amount_1pct,pnl_dollar_1pct,ending_capital_1pct,holding_time_hours,exit_reason,ambiguity_status
210,2024-10-30T14:00:00+00:00,2024-10-30T15:00:00+00:00,BTCUSD,SHORT,BTCUSD_3638_BEARISH_3626_3635,72687.0,72361.5,325.5,0.4494,REGIME_A_LE_06,72361.5,72687.0,71803.5,325.5,558.0,1.7143,TP_HIT,1.7143,0.0014,0.0001,0.0002,0.0016,4.535,0.0453,0.0777,4.6127,1,TP_HIT,UNAMBIGUOUS
211,2024-10-30T18:00:00+00:00,2024-10-31T13:00:00+00:00,SOLUSD,LONG,SOLUSD_3642_BULLISH_3592_3600,175.15,173.14,2.01,1.1548,REGIME_B_GT_06,174.6475,173.14,176.155,1.5075,1.5075,1.0,SL_HIT,-1.0,0.0016,0.0002,-0.0002,0.0014,4.6127,0.0461,-0.0461,4.5666,19,SL_HIT,UNAMBIGUOUS
212,2024-11-02T20:00:00+00:00,2024-11-03T01:00:00+00:00,SOLUSD,SHORT,SOLUSD_3716_BEARISH_3704_3708,167.73,166.41,1.32,0.7928,REGIME_B_GT_06,166.74,167.73,165.75,0.99,0.99,1.0,TP_HIT,1.0,0.0014,0.0001,0.0001,0.0016,4.5666,0.0457,0.0457,4.6123,5,TP_HIT,UNAMBIGUOUS
213,2024-11-03T17:00:00+00:00,2024-11-03T18:00:00+00:00,ETHUSD,SHORT,ETHUSD_3737_BEARISH_3728_3733,2462.45,2443.8,18.65,0.7623,REGIME_B_GT_06,2448.4625,2462.45,2434.475,13.9875,13.9875,1.0,TP_HIT,1.0,0.0016,0.0002,0.0002,0.0017,4.6123,0.0461,0.0461,4.6584,1,TP_HIT,UNAMBIGUOUS
214,2024-11-03T19:00:00+00:00,2024-11-03T20:00:00+00:00,BTCUSD,SHORT,BTCUSD_3739_BEARISH_3726_3734,68772.5,68375.5,397.0,0.5781,REGIME_A_LE_06,68375.5,68772.5,67694.9286,397.0,680.5714,1.7143,SL_HIT,-1.0,0.0017,0.0002,-0.0002,0.0016,4.6584,0.0466,-0.0466,4.6118,1,SL_HIT,UNAMBIGUOUS
215,2024-11-04T02:00:00+00:00,2024-11-04T03:00:00+00:00,SOLUSD,SHORT,SOLUSD_3746_BEARISH_3731_3734,164.76,163.351,1.409,0.8574,REGIME_B_GT_06,163.7032,164.76,162.6465,1.0567,1.0567,1.0,SL_HIT,-1.0,0.0016,0.0002,-0.0002,0.0014,4.6118,0.0461,-0.0461,4.5657,1,SL_HIT,UNAMBIGUOUS
216,2024-11-04T09:00:00+00:00,2024-11-04T10:00:00+00:00,XRPUSD,SHORT,XRPUSD_3753_BEARISH_3712_3722,0.5116,0.51,0.0016,0.3132,REGIME_A_LE_06,0.51,0.5116,0.5073,0.0016,0.0027,1.7143,SL_HIT,-1.0,0.0014,0.0001,-0.0001,0.0013,4.5657,0.0457,-0.0457,4.52,1,SL_HIT,UNAMBIGUOUS
217,2024-11-05T12:00:00+00:00,2024-11-05T14:00:00+00:00,BTCUSD,SHORT,BTCUSD_3780_BEARISH_3757_3758,69258.0,68644.0,614.0,0.8917,REGIME_B_GT_06,68797.5,69258.0,68337.0,460.5,460.5,1.0,SL_HIT,-1.0,0.0013,0.0001,-0.0001,0.0011,4.52,0.0452,-0.0452,4.4748,2,SL_HIT,UNAMBIGUOUS
218,2024-11-06T23:00:00+00:00,2024-11-07T01:00:00+00:00,SOLUSD,LONG,SOLUSD_3815_BULLISH_3807_3813,187.873,184.359,3.514,1.8825,REGIME_B_GT_06,186.9945,184.359,189.63,2.6355,2.6355,1.0,TP_HIT,1.0,0.0011,0.0001,0.0001,0.0013,4.4748,0.0447,0.0447,4.5196,2,TP_HIT,UNAMBIGUOUS
219,2024-11-08T02:00:00+00:00,2024-11-08T04:00:00+00:00,SOLUSD,LONG,SOLUSD_3842_BULLISH_3839_3840,196.385,194.208,2.177,1.1111,REGIME_B_GT_06,195.8407,194.208,197.4735,1.6327,1.6327,1.0,TP_HIT,1.0,0.0013,0.0001,0.0001,0.0014,4.5196,0.0452,0.0452,4.5648,2,TP_HIT,UNAMBIGUOUS
220,2024-11-08T16:00:00+00:00,2024-11-08T18:00:00+00:00,SOLUSD,LONG,SOLUSD_3856_BULLISH_3842_3849,198.599,195.72,2.879,1.46,REGIME_B_GT_06,197.8792,195.72,200.0385,2.1592,2.1592,1.0,TP_HIT,1.0,0.0014,0.0001,0.0001,0.0015,4.5648,0.0456,0.0456,4.6104,2,TP_HIT,UNAMBIGUOUS
221,2024-11-09T14:00:00+00:00,2024-11-09T16:00:00+00:00,SOLUSD,LONG,SOLUSD_3878_BULLISH_3861_3874,199.15,197.169,1.981,0.9992,REGIME_B_GT_06,198.6548,197.169,200.1405,1.4857,1.4857,1.0,SL_HIT,-1.0,0.0015,0.0002,-0.0002,0.0014,4.6104,0.0461,-0.0461,4.5643,2,SL_HIT,UNAMBIGUOUS
222,2024-11-09T21:00:00+00:00,2024-11-09T23:00:00+00:00,BTCUSD,SHORT,BTCUSD_3885_BEARISH_3872_3880,76743.0,76430.5,312.5,0.4088,REGIME_A_LE_06,76430.5,76743.0,75894.7857,312.5,535.7143,1.7143,SL_HIT,-1.0,0.0014,0.0001,-0.0001,0.0012,4.5643,0.0456,-0.0456,4.5187,2,SL_HIT,UNAMBIGUOUS
223,2024-11-10T20:00:00+00:00,2024-11-10T21:00:00+00:00,BTCUSD,LONG,BTCUSD_3908_BULLISH_3894_3899,79358.0,78707.5,650.5,0.8232,REGIME_B_GT_06,79195.375,78707.5,79683.25,487.875,487.875,1.0,SL_HIT,-1.0,0.0012,0.0001,-0.0001,0.0011,4.5187,0.0452,-0.0452,4.4735,1,SL_HIT,AMBIGUOUS_RESOLVED_CONSERVATIVE
224,2024-11-12T09:00:00+00:00,2024-11-12T10:00:00+00:00,SOLUSD,LONG,SOLUSD_3945_BULLISH_3938_3944,220.013,215.71,4.303,1.9932,REGIME_B_GT_06,218.9373,215.71,222.1645,3.2272,3.2272,1.0,SL_HIT,-1.0,0.0011,0.0001,-0.0001,0.001,4.4735,0.0447,-0.0447,4.4287,1,SL_HIT,UNAMBIGUOUS
225,2024-11-12T20:00:00+00:00,2024-11-12T22:00:00+00:00,BTCUSD,SHORT,BTCUSD_3956_BEARISH_3943_3948,90026.0,89076.0,950.0,1.0613,REGIME_B_GT_06,89313.5,90026.0,88601.0,712.5,712.5,1.0,TP_HIT,1.0,0.001,0.0001,0.0001,0.0011,4.4287,0.0443,0.0443,4.473,2,TP_HIT,UNAMBIGUOUS
226,2024-11-13T05:00:00+00:00,2024-11-13T08:00:00+00:00,XRPUSD,LONG,XRPUSD_3965_BULLISH_3947_3956,0.6508,0.6298,0.021,3.2488,REGIME_B_GT_06,0.6456,0.6298,0.6613,0.0158,0.0158,1.0,TP_HIT,1.0,0.0011,0.0001,0.0001,0.0012,4.473,0.0447,0.0447,4.5178,3,TP_HIT,UNAMBIGUOUS
227,2024-11-13T13:00:00+00:00,2024-11-13T14:00:00+00:00,SOLUSD,SHORT,SOLUSD_3973_BEARISH_3958_3963,215.644,212.361,3.283,1.544,REGIME_B_GT_06,213.1817,215.644,210.7195,2.4623,2.4623,1.0,SL_HIT,-1.0,0.0012,0.0001,-0.0001,0.0011,4.5178,0.0452,-0.0452,4.4726,1,SL_HIT,AMBIGUOUS_RESOLVED_CONSERVATIVE
228,2024-11-14T09:00:00+00:00,2024-11-14T11:00:00+00:00,SOLUSD,SHORT,SOLUSD_3993_BEARISH_3944_3946,225.3328,220.959,4.3738,1.9714,REGIME_B_GT_06,222.0524,225.3328,218.7721,3.2803,3.2803,1.0,TP_HIT,1.0,0.0011,0.0001,0.0001,0.0012,4.4726,0.0447,0.0447,4.5173,2,TP_HIT,UNAMBIGUOUS
229,2024-11-14T14:00:00+00:00,2024-11-15T04:00:00+00:00,SOLUSD,LONG,SOLUSD_3998_BULLISH_3981_3993,211.831,206.48,5.351,2.5414,REGIME_B_GT_06,210.4932,206.48,214.5065,4.0132,4.0132,1.0,SL_HIT,-1.0,0.0012,0.0001,-0.0001,0.0011,4.5173,0.0452,-0.0452,4.4721,14,SL_HIT,UNAMBIGUOUS
230,2024-11-15T13:00:00+00:00,2024-11-15T14:00:00+00:00,SOLUSD,SHORT,SOLUSD_4021_BEARISH_4001_4011,217.171,214.544,2.627,1.223,REGIME_B_GT_06,215.2007,217.171,213.2305,1.9702,1.9702,1.0,TP_HIT,1.0,0.0011,0.0001,0.0001,0.0012,4.4721,0.0447,0.0447,4.5169,1,TP_HIT,UNAMBIGUOUS
231,2024-11-15T20:00:00+00:00,2024-11-15T21:00:00+00:00,BTCUSD,SHORT,BTCUSD_4028_BEARISH_3995_4004,91717.0,90500.0,1217.0,1.3305,REGIME_B_GT_06,90804.25,91717.0,89891.5,912.75,912.75,1.0,SL_HIT,-1.0,0.0012,0.0001,-0.0001,0.0011,4.5169,0.0452,-0.0452,4.4717,1,SL_HIT,UNAMBIGUOUS
232,2024-11-16T01:00:00+00:00,2024-11-16T03:00:00+00:00,XRPUSD,LONG,XRPUSD_4033_BULLISH_4024_4029,0.8846,0.8614,0.0232,2.6238,REGIME_B_GT_06,0.8788,0.8614,0.8962,0.0174,0.0174,1.0,TP_HIT,1.0,0.0011,0.0001,0.0001,0.0012,4.4717,0.0447,0.0447,4.5164,2,TP_HIT,UNAMBIGUOUS
233,2024-11-16T03:00:00+00:00,2024-11-16T11:00:00+00:00,ETHUSD,SHORT,ETHUSD_4035_BEARISH_4001_4012,3172.6,3124.85,47.75,1.5125,REGIME_B_GT_06,3136.7875,3172.6,3100.975,35.8125,35.8125,1.0,SL_HIT,-1.0,0.0012,0.0001,-0.0001,0.0011,4.5164,0.0452,-0.0452,4.4712,8,SL_HIT,UNAMBIGUOUS
234,2024-11-16T18:00:00+00:00,2024-11-16T22:00:00+00:00,BTCUSD,SHORT,BTCUSD_4050_BEARISH_4037_4045,91851.0,91198.5,652.5,0.7143,REGIME_B_GT_06,91361.625,91851.0,90872.25,489.375,489.375,1.0,TP_HIT,1.0,0.0011,0.0001,0.0001,0.0012,4.4712,0.0447,0.0447,4.516,4,TP_HIT,UNAMBIGUOUS
235,2024-11-17T08:00:00+00:00,2024-11-17T09:00:00+00:00,BTCUSD,SHORT,BTCUSD_4064_BEARISH_4050_4058,91443.5,90887.5,556.0,0.6107,REGIME_B_GT_06,91026.5,91443.5,90609.5,417.0,417.0,1.0,SL_HIT,-1.0,0.0012,0.0001,-0.0001,0.001,4.516,0.0452,-0.0452,4.4708,1,SL_HIT,UNAMBIGUOUS
236,2024-11-18T11:00:00+00:00,2024-11-18T15:00:00+00:00,ETHUSD,LONG,ETHUSD_4091_BULLISH_4023_4035,3063.3,3016.65,46.65,1.5254,REGIME_B_GT_06,3051.6375,3016.65,3086.625,34.9875,34.9875,1.0,TP_HIT,1.0,0.001,0.0001,0.0001,0.0011,4.4708,0.0447,0.0447,4.5155,4,TP_HIT,UNAMBIGUOUS
237,2024-11-18T18:00:00+00:00,2024-11-18T20:00:00+00:00,BTCUSD,LONG,BTCUSD_4098_BULLISH_4093_4095,90639.0,89419.5,1219.5,1.3488,REGIME_B_GT_06,90334.125,89419.5,91248.75,914.625,914.625,1.0,TP_HIT,1.0,0.0011,0.0001,0.0001,0.0013,4.5155,0.0452,0.0452,4.5607,2,TP_HIT,UNAMBIGUOUS
238,2024-11-19T13:00:00+00:00,2024-11-19T14:00:00+00:00,BTCUSD,LONG,BTCUSD_4117_BULLISH_4103_4116,91297.5,90280.5,1017.0,1.1154,REGIME_B_GT_06,91043.25,90280.5,91806.0,762.75,762.75,1.0,TP_HIT,1.0,0.0013,0.0001,0.0001,0.0014,4.5607,0.0456,0.0456,4.6063,1,TP_HIT,UNAMBIGUOUS
239,2024-11-19T15:00:00+00:00,2024-11-20T18:00:00+00:00,ETHUSD,LONG,ETHUSD_4119_BULLISH_4091_4096,3119.8,3052.4,67.4,2.1696,REGIME_B_GT_06,3102.95,3052.4,3153.5,50.55,50.55,1.0,SL_HIT,-1.0,0.0014,0.0001,-0.0001,0.0012,4.6063,0.0461,-0.0461,4.5602,27,SL_HIT,UNAMBIGUOUS
240,2024-11-21T04:00:00+00:00,2024-11-21T12:00:00+00:00,ETHUSD,SHORT,ETHUSD_4156_BEARISH_4142_4145,3161.6,3092.0,69.6,2.2221,REGIME_B_GT_06,3109.4,3161.6,3057.2,52.2,52.2,1.0,SL_HIT,-1.0,0.0012,0.0001,-0.0001,0.0011,4.5602,0.0456,-0.0456,4.5146,8,SL_HIT,UNAMBIGUOUS
241,2024-11-21T12:00:00+00:00,2024-11-21T14:00:00+00:00,BTCUSD,LONG,BTCUSD_4164_BULLISH_4157_4163,97895.5,96726.0,1169.5,1.2017,REGIME_B_GT_06,97603.125,96726.0,98480.25,877.125,877.125,1.0,SL_HIT,-1.0,0.0011,0.0001,-0.0001,0.001,4.5146,0.0451,-0.0451,4.4695,2,SL_HIT,UNAMBIGUOUS
242,2024-11-21T17:00:00+00:00,2024-11-21T18:00:00+00:00,BTCUSD,SHORT,BTCUSD_4169_BEARISH_4163_4167,98424.0,97728.5,695.5,0.7091,REGIME_B_GT_06,97902.375,98424.0,97380.75,521.625,521.625,1.0,SL_HIT,-1.0,0.001,0.0001,-0.0001,0.0009,4.4695,0.0447,-0.0447,4.4248,1,SL_HIT,UNAMBIGUOUS
243,2024-11-22T10:00:00+00:00,2024-11-22T13:00:00+00:00,ETHUSD,LONG,ETHUSD_4186_BULLISH_4177_4180,3333.95,3308.0,25.95,0.7801,REGIME_B_GT_06,3327.4625,3308.0,3346.925,19.4625,19.4625,1.0,SL_HIT,-1.0,0.0009,0.0001,-0.0001,0.0008,4.4248,0.0442,-0.0442,4.3805,3,SL_HIT,UNAMBIGUOUS
244,2024-11-22T16:00:00+00:00,2024-11-22T19:00:00+00:00,BTCUSD,SHORT,BTCUSD_4192_BEARISH_4183_4190,99530.0,98910.0,620.0,0.6268,REGIME_B_GT_06,99065.0,99530.0,98600.0,465.0,465.0,1.0,SL_HIT,-1.0,0.0008,0.0001,-0.0001,0.0007,4.3805,0.0438,-0.0438,4.3367,3,SL_HIT,UNAMBIGUOUS
245,2024-11-23T11:00:00+00:00,2024-11-23T13:00:00+00:00,SOLUSD,LONG,SOLUSD_4211_BULLISH_4202_4204,256.78,253.46,3.32,1.2959,REGIME_B_GT_06,255.95,253.46,258.44,2.49,2.49,1.0,TP_HIT,1.0,0.0007,0.0001,0.0001,0.0008,4.3367,0.0434,0.0434,4.3801,2,TP_HIT,UNAMBIGUOUS
246,2024-11-25T07:00:00+00:00,2024-11-25T08:00:00+00:00,XRPUSD,SHORT,XRPUSD_4255_BEARISH_4226_4235,1.5135,1.478,0.0355,2.399,REGIME_B_GT_06,1.4869,1.5135,1.4602,0.0266,0.0266,1.0,SL_HIT,-1.0,0.0008,0.0001,-0.0001,0.0007,4.3801,0.0438,-0.0438,4.3363,1,SL_HIT,UNAMBIGUOUS
247,2024-11-25T12:00:00+00:00,2024-11-25T14:00:00+00:00,SOLUSD,LONG,SOLUSD_4260_BULLISH_4249_4256,251.53,245.87,5.66,2.2523,REGIME_B_GT_06,250.115,245.87,254.36,4.245,4.245,1.0,SL_HIT,-1.0,0.0007,0.0001,-0.0001,0.0007,4.3363,0.0434,-0.0434,4.2929,2,SL_HIT,UNAMBIGUOUS
248,2024-11-25T14:00:00+00:00,2024-11-25T16:00:00+00:00,XRPUSD,LONG,XRPUSD_4262_BULLISH_4249_4253,1.4022,1.3567,0.0455,3.279,REGIME_B_GT_06,1.3908,1.3567,1.4249,0.0341,0.0341,1.0,TP_HIT,1.0,0.0007,0.0001,0.0001,0.0007,4.2929,0.0429,0.0429,4.3358,2,TP_HIT,UNAMBIGUOUS
249,2024-11-27T04:00:00+00:00,2024-11-27T13:00:00+00:00,SOLUSD,LONG,SOLUSD_4300_BULLISH_4290_4298,230.35,223.5,6.85,2.9783,REGIME_B_GT_06,228.6375,223.5,233.775,5.1375,5.1375,1.0,TP_HIT,1.0,0.0007,0.0001,0.0001,0.0008,4.3358,0.0434,0.0434,4.3792,9,TP_HIT,UNAMBIGUOUS
250,2024-11-27T13:00:00+00:00,2024-11-27T14:00:00+00:00,SOLUSD,SHORT,SOLUSD_4309_BEARISH_4278_4282,239.72,237.79,1.93,0.8115,REGIME_B_GT_06,238.2725,239.72,236.825,1.4475,1.4475,1.0,SL_HIT,-1.0,0.0008,0.0001,-0.0001,0.0007,4.3792,0.0438,-0.0438,4.3354,1,SL_HIT,AMBIGUOUS_RESOLVED_CONSERVATIVE
251,2024-11-27T14:00:00+00:00,2024-11-27T15:00:00+00:00,BTCUSD,SHORT,BTCUSD_4310_BEARISH_4278_4282,95061.5,94495.5,566.0,0.5964,REGIME_A_LE_06,94495.5,95061.5,93525.2143,566.0,970.2857,1.7143,SL_HIT,-1.0,0.0007,0.0001,-0.0001,0.0006,4.3354,0.0434,-0.0434,4.292,1,SL_HIT,UNAMBIGUOUS
252,2024-11-28T18:00:00+00:00,2024-11-28T22:00:00+00:00,XRPUSD,SHORT,XRPUSD_4338_BEARISH_4326_4335,1.4937,1.4706,0.0231,1.563,REGIME_B_GT_06,1.4764,1.4937,1.459,0.0173,0.0173,1.0,SL_HIT,-1.0,0.0006,0.0001,-0.0001,0.0006,4.292,0.0429,-0.0429,4.2491,4,SL_HIT,UNAMBIGUOUS
253,2024-11-29T01:00:00+00:00,2024-11-29T06:00:00+00:00,XRPUSD,SHORT,XRPUSD_4345_BEARISH_4215_4216,1.5951,1.5496,0.0455,2.9208,REGIME_B_GT_06,1.561,1.5951,1.5269,0.0341,0.0341,1.0,SL_HIT,-1.0,0.0006,0.0001,-0.0001,0.0005,4.2491,0.0425,-0.0425,4.2066,5,SL_HIT,UNAMBIGUOUS
254,2024-11-29T17:00:00+00:00,2024-11-30T23:00:00+00:00,SOLUSD,LONG,SOLUSD_4361_BULLISH_4351_4355,241.63,237.6255,4.0045,1.6659,REGIME_B_GT_06,240.6289,237.6255,243.6322,3.0034,3.0034,1.0,SL_HIT,-1.0,0.0005,0.0001,-0.0001,0.0005,4.2066,0.0421,-0.0421,4.1646,30,SL_HIT,UNAMBIGUOUS
255,2024-12-01T16:00:00+00:00,2024-12-01T21:00:00+00:00,BTCUSD,SHORT,BTCUSD_4408_BEARISH_4364_4369,97666.5,97240.0,426.5,0.4385,REGIME_A_LE_06,97240.0,97666.5,96508.8571,426.5,731.1429,1.7143,SL_HIT,-1.0,0.0005,0.0,-0.0,0.0004,4.1646,0.0416,-0.0416,4.1229,5,SL_HIT,UNAMBIGUOUS
256,2024-12-02T13:00:00+00:00,2024-12-02T14:00:00+00:00,XRPUSD,SHORT,XRPUSD_4429_BEARISH_4421_4424,2.4875,2.4238,0.0637,2.6242,REGIME_B_GT_06,2.4397,2.4875,2.392,0.0478,0.0478,1.0,SL_HIT,-1.0,0.0004,0.0,-0.0,0.0004,4.1229,0.0412,-0.0412,4.0817,1,SL_HIT,UNAMBIGUOUS
257,2024-12-02T18:00:00+00:00,2024-12-03T13:00:00+00:00,ETHUSD,SHORT,ETHUSD_4434_BEARISH_4432_4433,3684.65,3620.4,64.25,1.7713,REGIME_B_GT_06,3636.4625,3684.65,3588.275,48.1875,48.1875,1.0,TP_HIT,1.0,0.0004,0.0,0.0,0.0004,4.0817,0.0408,0.0408,4.1225,19,TP_HIT,UNAMBIGUOUS
258,2024-12-03T15:00:00+00:00,2024-12-04T01:00:00+00:00,BTCUSD,SHORT,BTCUSD_4455_BEARISH_4442_4450,96375.0,95463.5,911.5,0.952,REGIME_B_GT_06,95691.375,96375.0,95007.75,683.625,683.625,1.0,SL_HIT,-1.0,0.0004,0.0,-0.0,0.0004,4.1225,0.0412,-0.0412,4.0813,10,SL_HIT,UNAMBIGUOUS
259,2024-12-04T12:00:00+00:00,2024-12-04T16:00:00+00:00,BTCUSD,LONG,BTCUSD_4476_BULLISH_4456_4469,96236.0,94927.0,1309.0,1.3631,REGIME_B_GT_06,95908.75,94927.0,96890.5,981.75,981.75,1.0,SL_HIT,-1.0,0.0004,0.0,-0.0,0.0003,4.0813,0.0408,-0.0408,4.0405,4,SL_HIT,UNAMBIGUOUS
260,2024-12-05T19:00:00+00:00,2024-12-05T20:00:00+00:00,SOLUSD,LONG,SOLUSD_4507_BULLISH_4494_4499,235.74,231.67,4.07,1.7416,REGIME_B_GT_06,234.7225,231.67,237.775,3.0525,3.0525,1.0,SL_HIT,-1.0,0.0003,0.0,-0.0,0.0003,4.0405,0.0404,-0.0404,4.0001,1,SL_HIT,UNAMBIGUOUS
261,2024-12-05T20:00:00+00:00,2024-12-05T22:00:00+00:00,ETHUSD,LONG,ETHUSD_4508_BULLISH_4489_4496,3830.0,3769.75,60.25,1.5741,REGIME_B_GT_06,3814.9375,3769.75,3860.125,45.1875,45.1875,1.0,SL_HIT,-1.0,0.0003,0.0,-0.0,0.0003,4.0001,0.04,-0.04,3.9601,2,SL_HIT,UNAMBIGUOUS
262,2024-12-07T07:00:00+00:00,2024-12-07T15:00:00+00:00,XRPUSD,LONG,XRPUSD_4543_BULLISH_4528_4534,2.417,2.3315,0.0855,3.5485,REGIME_B_GT_06,2.3956,2.3315,2.4597,0.0641,0.0641,1.0,TP_HIT,1.0,0.0003,0.0,0.0,0.0003,3.9601,0.0396,0.0396,3.9997,8,TP_HIT,UNAMBIGUOUS
263,2024-12-07T21:00:00+00:00,2024-12-08T05:00:00+00:00,ETHUSD,LONG,ETHUSD_4557_BULLISH_4550_4554,4011.4,3979.05,32.35,0.8073,REGIME_B_GT_06,4003.3125,3979.05,4027.575,24.2625,24.2625,1.0,SL_HIT,-1.0,0.0003,0.0,-0.0,0.0003,3.9997,0.04,-0.04,3.9597,8,SL_HIT,UNAMBIGUOUS
264,2024-12-08T12:00:00+00:00,2024-12-08T13:00:00+00:00,BTCUSD,SHORT,BTCUSD_4572_BEARISH_4562_4565,100415.5,99810.5,605.0,0.6051,REGIME_B_GT_06,99961.75,100415.5,99508.0,453.75,453.75,1.0,SL_HIT,-1.0,0.0003,0.0,-0.0,0.0002,3.9597,0.0396,-0.0396,3.9201,1,SL_HIT,UNAMBIGUOUS
265,2024-12-08T22:00:00+00:00,2024-12-09T00:00:00+00:00,ETHUSD,SHORT,ETHUSD_4582_BEARISH_4556_4565,4027.25,4012.0,15.25,0.38,REGIME_A_LE_06,4012.0,4027.25,3985.8571,15.25,26.1429,1.7143,TP_HIT,1.7143,0.0002,0.0,0.0,0.0003,3.9201,0.0392,0.0672,3.9873,2,TP_HIT,UNAMBIGUOUS
266,2024-12-09T00:00:00+00:00,2024-12-09T02:00:00+00:00,BTCUSD,LONG,BTCUSD_4584_BULLISH_4575_4583,100036.0,99411.5,624.5,0.6261,REGIME_B_GT_06,99879.875,99411.5,100348.25,468.375,468.375,1.0,SL_HIT,-1.0,0.0003,0.0,-0.0,0.0003,3.9873,0.0399,-0.0399,3.9474,2,SL_HIT,UNAMBIGUOUS
267,2024-12-09T02:00:00+00:00,2024-12-09T03:00:00+00:00,BTCUSD,LONG,BTCUSD_4586_BULLISH_4569_4573,99362.5,98711.5,651.0,0.6557,REGIME_B_GT_06,99199.75,98711.5,99688.0,488.25,488.25,1.0,SL_HIT,-1.0,0.0003,0.0,-0.0,0.0002,3.9474,0.0395,-0.0395,3.9079,1,SL_HIT,UNAMBIGUOUS
268,2024-12-09T08:00:00+00:00,2024-12-09T14:00:00+00:00,ETHUSD,LONG,ETHUSD_4592_BULLISH_4524_4526,3886.0,3835.35,50.65,1.3089,REGIME_B_GT_06,3873.3375,3835.35,3911.325,37.9875,37.9875,1.0,TP_HIT,1.0,0.0002,0.0,0.0,0.0003,3.9079,0.0391,0.0391,3.947,6,TP_HIT,UNAMBIGUOUS
269,2024-12-11T02:00:00+00:00,2024-12-11T08:00:00+00:00,BTCUSD,SHORT,BTCUSD_4634_BEARISH_4622_4625,98312.5,97155.0,1157.5,1.1905,REGIME_B_GT_06,97444.375,98312.5,96576.25,868.125,868.125,1.0,SL_HIT,-1.0,0.0003,0.0,-0.0,0.0002,3.947,0.0395,-0.0395,3.9075,6,SL_HIT,UNAMBIGUOUS
270,2024-12-12T02:00:00+00:00,2024-12-12T04:00:00+00:00,XRPUSD,SHORT,XRPUSD_4658_BEARISH_4655_4656,2.4445,2.3915,0.053,2.2087,REGIME_B_GT_06,2.4047,2.4445,2.365,0.0398,0.0398,1.0,SL_HIT,-1.0,0.0002,0.0,-0.0,0.0002,3.9075,0.0391,-0.0391,3.8685,2,SL_HIT,UNAMBIGUOUS
271,2024-12-12T18:00:00+00:00,2024-12-12T19:00:00+00:00,ETHUSD,LONG,ETHUSD_4674_BULLISH_4666_4668,3924.95,3890.4,34.55,0.8814,REGIME_B_GT_06,3916.3125,3890.4,3942.225,25.9125,25.9125,1.0,SL_HIT,-1.0,0.0002,0.0,-0.0,0.0002,3.8685,0.0387,-0.0387,3.8298,1,SL_HIT,UNAMBIGUOUS
272,2024-12-12T19:00:00+00:00,2024-12-12T22:00:00+00:00,SOLUSD,LONG,SOLUSD_4675_BULLISH_4657_4661,227.82,225.689,2.131,0.9372,REGIME_B_GT_06,227.2873,225.689,228.8855,1.5983,1.5983,1.0,SL_HIT,-1.0,0.0002,0.0,-0.0,0.0002,3.8298,0.0383,-0.0383,3.7915,3,SL_HIT,UNAMBIGUOUS
273,2024-12-13T15:00:00+00:00,2024-12-13T17:00:00+00:00,ETHUSD,LONG,ETHUSD_4695_BULLISH_4687_4694,3903.0,3870.0,33.0,0.8495,REGIME_B_GT_06,3894.75,3870.0,3919.5,24.75,24.75,1.0,TP_HIT,1.0,0.0002,0.0,0.0,0.0002,3.7915,0.0379,0.0379,3.8294,2,TP_HIT,UNAMBIGUOUS
274,2024-12-14T01:00:00+00:00,2024-12-14T06:00:00+00:00,SOLUSD,SHORT,SOLUSD_4705_BEARISH_4691_4695,227.1729,225.52,1.6529,0.7328,REGIME_B_GT_06,225.9332,227.1729,224.6935,1.2397,1.2397,1.0,SL_HIT,-1.0,0.0002,0.0,-0.0,0.0002,3.8294,0.0383,-0.0383,3.7911,5,SL_HIT,UNAMBIGUOUS
275,2024-12-14T12:00:00+00:00,2024-12-14T13:00:00+00:00,BTCUSD,LONG,BTCUSD_4716_BULLISH_4702_4705,101362.5,101028.5,334.0,0.3298,REGIME_A_LE_06,101362.5,101028.5,101935.0714,334.0,572.5714,1.7143,SL_HIT,-1.0,0.0002,0.0,-0.0,0.0001,3.7911,0.0379,-0.0379,3.7532,1,SL_HIT,UNAMBIGUOUS
276,2024-12-14T19:00:00+00:00,2024-12-15T04:00:00+00:00,BTCUSD,SHORT,BTCUSD_4723_BEARISH_4705_4721,102638.0,101261.0,1377.0,1.3594,REGIME_B_GT_06,101605.25,102638.0,100572.5,1032.75,1032.75,1.0,SL_HIT,-1.0,0.0001,0.0,-0.0,0.0001,3.7532,0.0375,-0.0375,3.7157,9,SL_HIT,UNAMBIGUOUS
277,2024-12-15T21:00:00+00:00,2024-12-15T23:00:00+00:00,BTCUSD,SHORT,BTCUSD_4749_BEARISH_4502_4503,103652.0,102386.0,1266.0,1.2311,REGIME_B_GT_06,102702.5,103652.0,101753.0,949.5,949.5,1.0,SL_HIT,-1.0,0.0001,0.0,-0.0,0.0001,3.7157,0.0372,-0.0372,3.6785,2,SL_HIT,UNAMBIGUOUS
