trade_number,timestamp,exit_timestamp,asset,direction,ob_id,ob_high,ob_low,ob_width,ob_width_percent,tp_regime,entry_price,sl_price,tp_price,risk_distance,reward_distance,planned_rr,outcome,realized_R,starting_capital_10pct,risk_amount_10pct,pnl_dollar_10pct,ending_capital_10pct,starting_capital_1pct,risk_amount_1pct,pnl_dollar_1pct,ending_capital_1pct,holding_time_hours,exit_reason,ambiguity_status
887,2026-03-19T04:00:00+00:00,2026-03-19T05:00:00+00:00,SOLUSD,LONG,SOLUSD_15748_BULLISH_15743_15747,90.166,89.684,0.482,0.5361,REGIME_A_LE_06,90.166,89.684,90.9923,0.482,0.8263,1.7143,SL_HIT,-1.0,0.0,0.0,-0.0,0.0,1.0696,0.0107,-0.0107,1.0589,1,SL_HIT,UNAMBIGUOUS
888,2026-03-19T09:00:00+00:00,2026-03-19T12:00:00+00:00,SOLUSD,SHORT,SOLUSD_15753_BEARISH_15747_15751,91.4063,89.914,1.4923,1.6543,REGIME_B_GT_06,90.2871,91.4063,89.1679,1.1192,1.1192,1.0,TP_HIT,1.0,0.0,0.0,0.0,0.0,1.0589,0.0106,0.0106,1.0695,3,TP_HIT,UNAMBIGUOUS
889,2026-03-19T12:00:00+00:00,2026-03-19T15:00:00+00:00,SOLUSD,LONG,SOLUSD_15756_BULLISH_15661_15669,88.397,87.353,1.044,1.1848,REGIME_B_GT_06,88.136,87.353,88.919,0.783,0.783,1.0,SL_HIT,-1.0,0.0,0.0,-0.0,0.0,1.0695,0.0107,-0.0107,1.0588,3,SL_HIT,UNAMBIGUOUS
890,2026-03-20T09:00:00+00:00,2026-03-20T14:00:00+00:00,ETHUSD,LONG,ETHUSD_15777_BULLISH_15775_15776,2152.95,2120.9,32.05,1.4973,REGIME_B_GT_06,2144.9375,2120.9,2168.975,24.0375,24.0375,1.0,SL_HIT,-1.0,0.0,0.0,-0.0,0.0,1.0588,0.0106,-0.0106,1.0482,5,SL_HIT,UNAMBIGUOUS
891,2026-03-21T18:00:00+00:00,2026-03-21T23:00:00+00:00,ETHUSD,SHORT,ETHUSD_15810_BEARISH_15806_15808,2168.0,2149.65,18.35,0.8533,REGIME_B_GT_06,2154.2375,2168.0,2140.475,13.7625,13.7625,1.0,TP_HIT,1.0,0.0,0.0,0.0,0.0,1.0482,0.0105,0.0105,1.0587,5,TP_HIT,UNAMBIGUOUS
892,2026-03-22T15:00:00+00:00,2026-03-22T18:00:00+00:00,XRPUSD,LONG,XRPUSD_15831_BULLISH_15630_15670,1.3943,1.3839,0.0104,0.7471,REGIME_B_GT_06,1.3917,1.3839,1.3995,0.0078,0.0078,1.0,SL_HIT,-1.0,0.0,0.0,-0.0,0.0,1.0587,0.0106,-0.0106,1.0481,3,SL_HIT,UNAMBIGUOUS
893,2026-03-23T05:00:00+00:00,2026-03-23T06:00:00+00:00,BTCUSD,SHORT,BTCUSD_15845_BEARISH_15831_15837,68990.0,68679.5,310.5,0.4508,REGIME_A_LE_06,68679.5,68990.0,68147.2143,310.5,532.2857,1.7143,TP_HIT,1.7143,0.0,0.0,0.0,0.0,1.0481,0.0105,0.018,1.0661,1,TP_HIT,UNAMBIGUOUS
894,2026-03-23T14:00:00+00:00,2026-03-23T15:00:00+00:00,XRPUSD,SHORT,XRPUSD_15854_BEARISH_15776_15815,1.466,1.453,0.013,0.8932,REGIME_B_GT_06,1.4563,1.466,1.4465,0.0097,0.0097,1.0,TP_HIT,1.0,0.0,0.0,0.0,0.0,1.0661,0.0107,0.0107,1.0767,1,TP_HIT,UNAMBIGUOUS
895,2026-03-24T23:00:00+00:00,2026-03-25T08:00:00+00:00,BTCUSD,SHORT,BTCUSD_15887_BEARISH_15871_15877,71385.0,70450.0,935.0,1.3257,REGIME_B_GT_06,70683.75,71385.0,69982.5,701.25,701.25,1.0,SL_HIT,-1.0,0.0,0.0,-0.0,0.0,1.0767,0.0108,-0.0108,1.066,9,SL_HIT,UNAMBIGUOUS
896,2026-03-25T14:00:00+00:00,2026-03-25T15:00:00+00:00,SOLUSD,LONG,SOLUSD_15902_BULLISH_15895_15899,92.506,91.765,0.741,0.8059,REGIME_B_GT_06,92.3208,91.765,92.8765,0.5558,0.5558,1.0,SL_HIT,-1.0,0.0,0.0,-0.0,0.0,1.066,0.0107,-0.0107,1.0553,1,SL_HIT,UNAMBIGUOUS
897,2026-03-27T21:00:00+00:00,2026-03-28T13:00:00+00:00,BTCUSD,LONG,BTCUSD_15957_BULLISH_15349_15350,66115.0,65326.5,788.5,1.1939,REGIME_B_GT_06,65917.875,65326.5,66509.25,591.375,591.375,1.0,TP_HIT,1.0,0.0,0.0,0.0,0.0,1.0553,0.0106,0.0106,1.0659,16,TP_HIT,UNAMBIGUOUS
898,2026-03-28T23:00:00+00:00,2026-03-29T03:00:00+00:00,BTCUSD,LONG,BTCUSD_15983_BULLISH_15970_15973,66388.5,66093.5,295.0,0.4446,REGIME_A_LE_06,66388.5,66093.5,66894.2143,295.0,505.7143,1.7143,TP_HIT,1.7143,0.0,0.0,0.0,0.0,1.0659,0.0107,0.0183,1.0841,4,TP_HIT,UNAMBIGUOUS
