asset,direction,setup_time,setup_time_ist,first_touch_time,first_touch_time_ist,bars_from_touch_to_old_entry,old_entry_time,old_entry_time_ist,old_exit_time,old_exit_time_ist,entry_price,sl_price,tp_price,leverage,old_outcome,old_realized_r,old_net_pnl,removal_reason,capital_impact_type
BTCUSD,SHORT,2024-12-14 19:00:00+00:00,2024-12-15 00:30:00 IST,2024-12-14 20:00:00+00:00,2024-12-15 01:30:00 IST,5,2024-12-15 01:00:00+00:00,2024-12-15 06:30:00 IST,2024-12-15 04:00:00+00:00,2024-12-15 09:30:00 IST,101605.25,102638.0,100995.6185,34.43,FILLED_SL,-1.0,-6.762172001384644e-20,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
XRPUSD,LONG,2024-12-16 04:00:00+00:00,2024-12-16 09:30:00 IST,2024-12-16 05:00:00+00:00,2024-12-16 10:30:00 IST,3,2024-12-16 08:00:00+00:00,2024-12-16 13:30:00 IST,2024-12-16 11:00:00+00:00,2024-12-16 16:30:00 IST,2.3926,2.3652,2.4069,30.59,FILLED_SL,-1.0,-2.587210463042625e-20,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
SOLUSD,SHORT,2024-12-30 01:00:00+00:00,2024-12-30 06:30:00 IST,2024-12-30 02:00:00+00:00,2024-12-30 07:30:00 IST,6,2024-12-30 08:00:00+00:00,2024-12-30 13:30:00 IST,2024-12-30 08:00:00+00:00,2024-12-30 13:30:00 IST,194.0225,197.6,192.8584,18.98,FILLED_TP,0.3254,3.993571870912793e-23,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
BTCUSD,LONG,2025-01-05 01:00:00+00:00,2025-01-05 06:30:00 IST,2025-01-05 02:00:00+00:00,2025-01-05 07:30:00 IST,6,2025-01-05 08:00:00+00:00,2025-01-05 13:30:00 IST,2025-01-05 14:00:00+00:00,2025-01-05 19:30:00 IST,97959.375,97477.5,98547.1313,71.15,FILLED_SL,-1.0,-4.8996627546070204e-23,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
ETHUSD,SHORT,2025-01-14 09:00:00+00:00,2025-01-14 14:30:00 IST,2025-01-14 10:00:00+00:00,2025-01-14 15:30:00 IST,18,2025-01-15 04:00:00+00:00,2025-01-15 09:30:00 IST,2025-01-15 04:00:00+00:00,2025-01-15 09:30:00 IST,3244.4625,3270.0,3224.9957,44.47,FILLED_TP,0.7623,1.1413518354659772e-24,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
ETHUSD,SHORT,2025-01-22 11:00:00+00:00,2025-01-22 16:30:00 IST,2025-01-22 12:00:00+00:00,2025-01-22 17:30:00 IST,35,2025-01-23 23:00:00+00:00,2025-01-24 04:30:00 IST,2025-01-23 23:00:00+00:00,2025-01-24 04:30:00 IST,3333.375,3366.0,3313.3747,35.76,FILLED_TP,0.613,1.1921429472760916e-24,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
BTCUSD,LONG,2025-01-31 04:00:00+00:00,2025-01-31 09:30:00 IST,2025-01-31 05:00:00+00:00,2025-01-31 10:30:00 IST,13,2025-01-31 18:00:00+00:00,2025-01-31 23:30:00 IST,2025-01-31 18:00:00+00:00,2025-01-31 23:30:00 IST,103869.5,103229.0,104492.717,56.76,FILLED_SL,-1.0,-3.0692012625153143e-24,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
ETHUSD,SHORT,2025-02-05 05:00:00+00:00,2025-02-05 10:30:00 IST,2025-02-05 06:00:00+00:00,2025-02-05 11:30:00 IST,3,2025-02-05 09:00:00+00:00,2025-02-05 14:30:00 IST,2025-02-05 09:00:00+00:00,2025-02-05 14:30:00 IST,2791.6625,2844.65,2774.9125,18.44,FILLED_TP,0.3161,4.879750422879798e-25,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
XRPUSD,LONG,2025-02-05 23:00:00+00:00,2025-02-06 04:30:00 IST,2025-02-06 00:00:00+00:00,2025-02-06 05:30:00 IST,14,2025-02-06 14:00:00+00:00,2025-02-06 19:30:00 IST,2025-02-06 14:00:00+00:00,2025-02-06 19:30:00 IST,2.367,2.3211,2.3812,18.05,FILLED_TP,0.3094,3.1325411156867695e-25,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
BTCUSD,SHORT,2025-02-17 21:00:00+00:00,2025-02-18 02:30:00 IST,2025-02-17 22:00:00+00:00,2025-02-18 03:30:00 IST,16,2025-02-18 14:00:00+00:00,2025-02-18 19:30:00 IST,2025-02-18 14:00:00+00:00,2025-02-18 19:30:00 IST,96512.5,97000.0,95933.425,69.29,FILLED_TP,1.1878,2.287176567480352e-25,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
XRPUSD,SHORT,2025-02-19 02:00:00+00:00,2025-02-19 07:30:00 IST,2025-02-19 03:00:00+00:00,2025-02-19 08:30:00 IST,7,2025-02-19 10:00:00+00:00,2025-02-19 15:30:00 IST,2025-02-19 10:00:00+00:00,2025-02-19 15:30:00 IST,2.5785,2.6292,2.563,17.8,FILLED_TP,0.3051,8.844454706617498e-26,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
