asset,direction,setup_time,setup_time_ist,first_touch_time,first_touch_time_ist,bars_from_touch_to_old_entry,old_entry_time,old_entry_time_ist,old_exit_time,old_exit_time_ist,entry_price,sl_price,tp_price,leverage,old_outcome,old_realized_r,old_net_pnl,removal_reason,capital_impact_type
BTCUSD,SHORT,2026-03-08 10:00:00+00:00,2026-03-08 15:30:00 IST,2026-03-08 11:00:00+00:00,2026-03-08 16:30:00 IST,18,2026-03-09 05:00:00+00:00,2026-03-09 10:30:00 IST,2026-03-09 05:00:00+00:00,2026-03-09 10:30:00 IST,67914.625,68210.5,67507.1372,80.34,FILLED_TP,1.3772,2.8348075785505056e-51,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
SOLUSD,SHORT,2026-03-09 05:00:00+00:00,2026-03-09 10:30:00 IST,2026-03-09 06:00:00+00:00,2026-03-09 11:30:00 IST,3,2026-03-09 09:00:00+00:00,2026-03-09 14:30:00 IST,2026-03-09 09:00:00+00:00,2026-03-09 14:30:00 IST,84.4147,84.903,83.9083,60.51,FILLED_TP,1.0374,3.02724261284377e-51,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
BTCUSD,LONG,2026-03-10 03:00:00+00:00,2026-03-10 08:30:00 IST,2026-03-10 04:00:00+00:00,2026-03-10 09:30:00 IST,31,2026-03-11 11:00:00+00:00,2026-03-11 16:30:00 IST,2026-03-11 11:00:00+00:00,2026-03-11 16:30:00 IST,69207.875,68334.5,69623.1223,27.73,FILLED_TP,0.4755,2.0371687309417232e-51,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
BTCUSD,LONG,2026-03-28 10:00:00+00:00,2026-03-28 15:30:00 IST,2026-03-28 11:00:00+00:00,2026-03-28 16:30:00 IST,30,2026-03-29 17:00:00+00:00,2026-03-29 22:30:00 IST,2026-03-29 20:00:00+00:00,2026-03-30 01:30:00 IST,66140.75,65900.0,66537.5945,96.15,FILLED_TP,1.6484,8.05574403759991e-51,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
ETHUSD,SHORT,2026-04-11 02:00:00+00:00,2026-04-11 07:30:00 IST,2026-04-11 03:00:00+00:00,2026-04-11 08:30:00 IST,12,2026-04-11 15:00:00+00:00,2026-04-11 20:30:00 IST,2026-04-11 16:00:00+00:00,2026-04-11 21:30:00 IST,2250.0,2262.9,2236.5,61.05,FILLED_SL,-1.0,-5.710352606054774e-52,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
XRPUSD,LONG,2026-04-18 11:00:00+00:00,2026-04-18 16:30:00 IST,2026-04-18 12:00:00+00:00,2026-04-18 17:30:00 IST,5,2026-04-18 17:00:00+00:00,2026-04-18 22:30:00 IST,2026-04-18 23:00:00+00:00,2026-04-19 04:30:00 IST,1.4287,1.422,1.4373,74.08,FILLED_TP,1.27,6.566867787125889e-53,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
BTCUSD,LONG,2026-04-23 18:00:00+00:00,2026-04-23 23:30:00 IST,2026-04-23 19:00:00+00:00,2026-04-24 00:30:00 IST,9,2026-04-24 04:00:00+00:00,2026-04-24 09:30:00 IST,2026-04-24 05:00:00+00:00,2026-04-24 10:30:00 IST,77460.125,76805.0,77924.8858,41.38,FILLED_TP,0.7094,2.4824581715398262e-54,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
SOLUSD,SHORT,2026-05-07 12:00:00+00:00,2026-05-07 17:30:00 IST,2026-05-07 13:00:00+00:00,2026-05-07 18:30:00 IST,28,2026-05-08 17:00:00+00:00,2026-05-08 22:30:00 IST,2026-05-08 17:00:00+00:00,2026-05-08 22:30:00 IST,89.9219,90.756,89.3824,37.73,FILLED_SL,-1.0,-2.2327444967126086e-55,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
XRPUSD,LONG,2026-05-15 15:00:00+00:00,2026-05-15 20:30:00 IST,2026-05-15 16:00:00+00:00,2026-05-15 21:30:00 IST,3,2026-05-15 19:00:00+00:00,2026-05-16 00:30:00 IST,2026-05-16 04:00:00+00:00,2026-05-16 09:30:00 IST,1.4332,1.4265,1.4418,75.15,FILLED_SL,-1.0,-1.744007556197724e-56,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
BTCUSD,SHORT,2026-05-19 20:00:00+00:00,2026-05-20 01:30:00 IST,2026-05-19 21:00:00+00:00,2026-05-20 02:30:00 IST,8,2026-05-20 05:00:00+00:00,2026-05-20 10:30:00 IST,2026-05-20 05:00:00+00:00,2026-05-20 10:30:00 IST,77022.75,77295.0,76560.6135,99.02,FILLED_SL,-1.0,-8.983898322274887e-57,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
ETHUSD,SHORT,2026-05-24 06:00:00+00:00,2026-05-24 11:30:00 IST,2026-05-24 07:00:00+00:00,2026-05-24 12:30:00 IST,32,2026-05-25 15:00:00+00:00,2026-05-25 20:30:00 IST,2026-05-25 19:00:00+00:00,2026-05-26 00:30:00 IST,2131.8125,2152.85,2119.0216,35.47,FILLED_TP,0.608,2.418932916440891e-57,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
BTCUSD,SHORT,2026-06-05 04:00:00+00:00,2026-06-05 09:30:00 IST,2026-06-05 05:00:00+00:00,2026-06-05 10:30:00 IST,65,2026-06-07 22:00:00+00:00,2026-06-08 03:30:00 IST,2026-06-07 22:00:00+00:00,2026-06-08 03:30:00 IST,63674.375,64154.0,63292.3288,46.47,FILLED_SL,-1.0,-1.1211281916312445e-56,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
ETHUSD,SHORT,2026-06-11 11:00:00+00:00,2026-06-11 16:30:00 IST,2026-06-11 12:00:00+00:00,2026-06-11 17:30:00 IST,5,2026-06-11 17:00:00+00:00,2026-06-11 22:30:00 IST,2026-06-11 17:00:00+00:00,2026-06-11 22:30:00 IST,1671.5125,1696.0,1661.4834,23.89,FILLED_TP,0.4096,2.866542650590833e-57,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
BTCUSD,LONG,2026-06-20 02:00:00+00:00,2026-06-20 07:30:00 IST,2026-06-20 03:00:00+00:00,2026-06-20 08:30:00 IST,11,2026-06-20 14:00:00+00:00,2026-06-20 19:30:00 IST,2026-06-20 14:00:00+00:00,2026-06-20 19:30:00 IST,63209.75,62636.0,63589.0085,38.56,FILLED_TP,0.661,1.493674194189904e-57,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
ETHUSD,LONG,2026-07-19 03:00:00+00:00,2026-07-19 08:30:00 IST,2026-07-19 04:00:00+00:00,2026-07-19 09:30:00 IST,13,2026-07-19 17:00:00+00:00,2026-07-19 22:30:00 IST,2026-07-19 22:00:00+00:00,2026-07-20 03:30:00 IST,1862.4125,1848.95,1873.587,48.42,FILLED_TP,0.83,2.9863409075096926e-61,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
ETHUSD,LONG,2026-07-24 21:00:00+00:00,2026-07-25 02:30:00 IST,2026-07-24 22:00:00+00:00,2026-07-25 03:30:00 IST,5,2026-07-25 03:00:00+00:00,2026-07-25 08:30:00 IST,2026-07-25 13:00:00+00:00,2026-07-25 18:30:00 IST,1854.8625,1842.0,1865.9917,50.47,FILLED_TP,0.8652,6.553966315823933e-61,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
BTCUSD,SHORT,2026-07-25 13:00:00+00:00,2026-07-25 18:30:00 IST,2026-07-25 14:00:00+00:00,2026-07-25 19:30:00 IST,0,2026-07-25 14:00:00+00:00,2026-07-25 19:30:00 IST,2026-07-25 17:00:00+00:00,2026-07-25 22:30:00 IST,64158.375,64273.5,63773.4247,100.0,FILLED_SL,-1.0,-8.178955899994341e-61,Failed to reach 25% entry within 3 candles of first touch,SAVED_LOSS
SOLUSD,SHORT,2026-08-13 08:00:00+00:00,2026-08-13 13:30:00 IST,2026-08-13 09:00:00+00:00,2026-08-13 14:30:00 IST,4,2026-08-13 13:00:00+00:00,2026-08-13 18:30:00 IST,2026-08-13 15:00:00+00:00,2026-08-13 20:30:00 IST,76.3233,76.909,75.8653,45.61,FILLED_TP,0.7818,1.3597622748587308e-62,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
SOLUSD,LONG,2026-08-14 23:00:00+00:00,2026-08-15 04:30:00 IST,2026-08-15 00:00:00+00:00,2026-08-15 05:30:00 IST,7,2026-08-15 07:00:00+00:00,2026-08-15 12:30:00 IST,2026-08-15 17:00:00+00:00,2026-08-15 22:30:00 IST,75.2193,74.62,75.6706,43.93,FILLED_TP,0.7531,1.620542288980305e-62,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
BTCUSD,SHORT,2026-08-24 02:00:00+00:00,2026-08-24 07:30:00 IST,2026-08-24 03:00:00+00:00,2026-08-24 08:30:00 IST,4,2026-08-24 07:00:00+00:00,2026-08-24 12:30:00 IST,2026-08-24 08:00:00+00:00,2026-08-24 13:30:00 IST,77559.375,78030.0,77094.0188,57.68,FILLED_TP,0.9888,8.394121132826895e-63,Failed to reach 25% entry within 3 candles of first touch,MISSED_WIN
